"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-HypervHealth.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-HypervHealth.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-VMStats.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-VMStats.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"7","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","Get-VMStats.TempPoint.ps1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\Get-VMStats.TempPoint.ps1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"1","3","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"6","16","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"17","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"20","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"23","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"26","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"29","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"32","1","Line has trailing whitespace","System.Management.Automation.Language.ScriptExtent","PSAvoidTrailingWhitespace","Information","KillerGaming.Powershell.psd1","C:\Repos\KillerGaming.Powershell\KillerGaming.Powershell\KillerGaming.Powershell.psd1",,"System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
